issn,title,sjr_quartile,sjr_score
1058-6407,Journal of Economics and Management Strategy,Q1,1.081
1617-7134,Journal of Economics/ Zeitschrift fur Nationalokonomie,Q2,0.528
0931-8658,Journal of Economics/ Zeitschrift fur Nationalokonomie,Q2,0.528
1472-4049,Journal of Ecotourism,Q1,0.682
1747-7638,Journal of Ecotourism,Q1,0.682
1363-9080,Journal of Education and Work,Q2,0.642
1469-9435,Journal of Education and Work,Q2,0.642
0883-2323,Journal of Education for Business,Q2,0.436
1940-3356,Journal of Education for Business,Q2,0.436
1539-2937,Journal of Electronic Commerce in Organizations,Q3,0.279
1554-1908,Journal of Emerging Technologies in Accounting,Q2,0.642
1558-7940,Journal of Emerging Technologies in Accounting,Q2,0.642
1326-4443,Journal of Empirical Generalisations in Marketing Science,Q4,0.107
2161-1920,Journal of Employment Counseling,Q2,0.522
0022-0787,Journal of Employment Counseling,Q2,0.522
2398-6263,Journal of Enabling Technologies,Q3,0.371
1756-3615,Journal of Energy Markets,Q3,0.229
1756-3607,Journal of Energy Markets,Q3,0.229
1879-1719,Journal of Engineering and Technology Management - JET-M,Q1,0.856
0923-4748,Journal of Engineering and Technology Management - JET-M,Q1,0.856
2223-8379,"Journal of Engineering, Project, and Production Management",Q3,0.284
2221-6529,"Journal of Engineering, Project, and Production Management",Q3,0.284
1741-0398,Journal of Enterprise Information Management,Q1,1.675
1750-6204,Journal of Enterprising Communities,Q2,0.613
2281-8642,Journal of Entrepreneurial and Organizational Diversity,Q4,0.157
0973-0745,Journal of Entrepreneurship,Q2,0.609
0971-3557,Journal of Entrepreneurship,Q2,0.609
2393-9575,Journal of Entrepreneurship and Innovation in Emerging Economies,Q2,0.323
2394-9945,Journal of Entrepreneurship and Innovation in Emerging Economies,Q2,0.323
2045-2101,Journal of Entrepreneurship and Public Policy,Q1,0.592
2045-211X,Journal of Entrepreneurship and Public Policy,Q1,0.592
2053-4604,Journal of Entrepreneurship in Emerging Economies,Q1,0.866
2053-4612,Journal of Entrepreneurship in Emerging Economies,Q1,0.866
2299-7075,"Journal of Entrepreneurship, Management and Innovation",Q2,0.446
2299-7326,"Journal of Entrepreneurship, Management and Innovation",Q2,0.446
2325-6206,Journal of Environmental Accounting and Management,Q3,0.205
2325-6192,Journal of Environmental Accounting and Management,Q3,0.205
1753-9277,Journal of European Real Estate Research,Q3,0.263
1753-9269,Journal of European Real Estate Research,Q3,0.263
0936-9937,Journal of Evolutionary Economics,Q2,0.654
1432-1386,Journal of Evolutionary Economics,Q2,0.654
2385-7137,Journal of Evolutionary Studies in Business,Q4,0.167
1741-0983,Journal of Facilities Management,Q2,0.616
1472-5967,Journal of Facilities Management,Q2,0.616
2043-6238,Journal of Family Business Management,Q1,0.983
2043-6246,Journal of Family Business Management,Q1,0.983
1877-8585,Journal of Family Business Strategy,Q1,3.053
1361-2026,Journal of Fashion Marketing and Management,Q1,1.054
0022-1082,Journal of Finance,Q1,22.836
1540-6261,Journal of Finance,Q1,22.836
2405-9188,Journal of Finance and Data Science,Q1,0.883
2640-3951,Journal of Financial Data Science,Q2,0.459
2640-3943,Journal of Financial Data Science,Q2,0.459
0304-405X,Journal of Financial Economics,Q1,17.669
1759-8443,Journal of Financial Management of Property and Construction,Q3,0.409
1366-4387,Journal of Financial Management of Property and Construction,Q3,0.409
1358-1988,Journal of Financial Regulation and Compliance,Q3,0.403
1740-0279,Journal of Financial Regulation and Compliance,Q3,0.403
2042-5856,Journal of Financial Reporting and Accounting,Q1,0.683
1985-2517,Journal of Financial Reporting and Accounting,Q1,0.683
0270-2592,Journal of Financial Research,Q2,0.686
1475-6803,Journal of Financial Research,Q2,0.686
1479-1846,Journal of Financial Services Marketing,Q2,0.63
1363-0539,Journal of Financial Services Marketing,Q2,0.63
1573-0735,Journal of Financial Services Research,Q2,0.702
0920-8550,Journal of Financial Services Research,Q2,0.702
0022-1090,Journal of Financial and Quantitative Analysis,Q1,4.465
1756-6916,Journal of Financial and Quantitative Analysis,Q1,4.465
2643-3354,Journal of Food Distribution Research,Q4,0.19
1540-4102,Journal of Food Products Marketing,Q2,0.644
1045-4446,Journal of Food Products Marketing,Q2,0.644
0277-6693,Journal of Forecasting,Q1,0.701
1099-131X,Journal of Forecasting,Q1,0.701
1096-9934,Journal of Futures Markets,Q2,0.632
0270-7314,Journal of Futures Markets,Q2,0.632
1759-6106,Journal of General Management,Q3,0.39
0306-3070,Journal of General Management,Q3,0.39
2616-2733,Journal of Global Business and Technology,Q3,0.25
1553-5495,Journal of Global Business and Technology,Q3,0.25
2093-2685,Journal of Global Fashion Marketing,Q1,1.171
2325-4483,Journal of Global Fashion Marketing,Q1,1.171
1062-7375,Journal of Global Information Management,Q2,0.799
1533-7995,Journal of Global Information Management,Q2,0.799
0891-1762,Journal of Global Marketing,Q1,0.959
1528-6975,Journal of Global Marketing,Q1,0.959
2049-8802,Journal of Global Mobility,Q2,0.759
2049-8799,Journal of Global Mobility,Q2,0.759
2398-5372,Journal of Global Operations and Strategic Sourcing,Q1,0.921
2398-5364,Journal of Global Operations and Strategic Sourcing,Q1,0.921
0925-5001,Journal of Global Optimization,Q1,0.807
1573-2916,Journal of Global Optimization,Q1,0.807
2041-2568,Journal of Global Responsibility,Q2,0.732
2041-2576,Journal of Global Responsibility,Q2,0.732
2163-9159,Journal of Global Scholars of Marketing Science: Bridging Asia and the World,Q1,0.54
2163-9167,Journal of Global Scholars of Marketing Science: Bridging Asia and the World,Q1,0.54
2470-4067,Journal of Global Sport Management,Q2,0.682
2470-4075,Journal of Global Sport Management,Q2,0.682
2306-6784,Journal of Governance and Regulation,Q4,0.195
2220-9352,Journal of Governance and Regulation,Q4,0.195
1477-7266,Journal of Health Organization and Management,Q2,0.648
1079-3739,Journal of Health and Human Services Administration,Q4,0.191
2168-5509,Journal of Health and Human Services Administration,Q4,0.191
1179-3201,Journal of Healthcare Leadership,Q1,1.264
1944-7396,Journal of Healthcare Management,Q2,0.635
1096-9012,Journal of Healthcare Management,Q2,0.635
1743-873X,Journal of Heritage Tourism,Q1,0.849
1747-6631,Journal of Heritage Tourism,Q1,0.849
1047-8310,Journal of High Technology Management Research,Q1,0.814
2717-1426,Journal of Higher Education Policy and Leadership Studies,Q3,0.263
1755-7518,Journal of Historical Research in Marketing,Q3,0.234
1755-750X,Journal of Historical Research in Marketing,Q3,0.234
2194-6361,Journal of Homeland Security and Emergency Management,Q3,0.254
1547-7355,Journal of Homeland Security and Emergency Management,Q3,0.254
2523-2533,Journal of Hospital Management and Health Policy,Q3,0.3
2152-2790,Journal of Hospitality Financial Management,Q4,0.153
1091-3211,Journal of Hospitality Financial Management,Q4,0.153
1936-8631,Journal of Hospitality Marketing and Management,Q1,3.212
1936-8623,Journal of Hospitality Marketing and Management,Q1,3.212
2164-9987,Journal of Hospitality and Tourism Cases,Q4,0.102
2325-6540,Journal of Hospitality and Tourism Education,Q2,0.591
1096-3758,Journal of Hospitality and Tourism Education,Q2,0.591
2514-9806,Journal of Hospitality and Tourism Insights,Q1,1.134
2514-9792,Journal of Hospitality and Tourism Insights,Q1,1.134
1839-5260,Journal of Hospitality and Tourism Management,Q1,2.158
1447-6770,Journal of Hospitality and Tourism Management,Q1,2.158
1096-3480,Journal of Hospitality and Tourism Research,Q1,1.428
1557-7554,Journal of Hospitality and Tourism Research,Q1,1.428
1757-9880,Journal of Hospitality and Tourism Technology,Q1,1.476
1757-9899,Journal of Hospitality and Tourism Technology,Q1,1.476
1473-8376,"Journal of Hospitality, Leisure, Sport and Tourism Education",Q1,0.982
2691-1337,Journal of Housing Research,Q2,0.271
1052-7001,Journal of Housing Research,Q2,0.271
1548-8004,Journal of Human Resources,Q1,6.588
0022-166X,Journal of Human Resources,Q1,6.588
1533-2845,Journal of Human Resources in Hospitality and Tourism,Q2,0.547
1533-2853,Journal of Human Resources in Hospitality and Tourism,Q2,0.547
0973-0737,Journal of Human Values,Q2,0.241
0971-6858,Journal of Human Values,Q2,0.241
2042-6747,Journal of Humanitarian Logistics and Supply Chain Management,Q1,0.877
2042-6755,Journal of Humanitarian Logistics and Supply Chain Management,Q1,0.877
2245-800X,Journal of ICT Standardization,Q2,0.352
2246-0853,Journal of ICT Standardization,Q2,0.352
1755-4195,Journal of Indian Business Research,Q2,0.553
1755-4209,Journal of Indian Business Research,Q2,0.553
2338-5847,Journal of Indonesian Economy and Business,Q3,0.29
2085-8272,Journal of Indonesian Economy and Business,Q3,0.29
1467-6451,Journal of Industrial Economics,Q1,1.486
0022-1821,Journal of Industrial Economics,Q1,1.486
1004-6062,Journal of Industrial Engineering and Engineering Management,Q3,0.247
2013-8423,Journal of Industrial Engineering and Management,Q2,0.481
2013-0953,Journal of Industrial Engineering and Management,Q2,0.481
2424-8630,Journal of Industrial Integration and Management,Q1,0.597
2424-8622,Journal of Industrial Integration and Management,Q1,0.597
0022-1856,Journal of Industrial Relations,Q1,0.946
1472-9296,Journal of Industrial Relations,Q1,0.946
0391-2078,Journal of Industrial and Business Economics,Q1,0.732
1972-4977,Journal of Industrial and Business Economics,Q1,0.732
1547-5816,Journal of Industrial and Management Optimization,Q3,0.389
1553-166X,Journal of Industrial and Management Optimization,Q3,0.389
1566-1679,"Journal of Industry, Competition and Trade",Q3,0.296
0888-7985,Journal of Information Systems,Q2,0.733
1558-7959,Journal of Information Systems,Q2,0.733
2598-6333,Journal of Information Systems Engineering and Business Intelligence,Q3,0.31
2443-2555,Journal of Information Systems Engineering and Business Intelligence,Q3,0.31
1551-0123,Journal of Information Systems Security,Q4,0.129
1551-0808,Journal of Information Systems Security,Q4,0.129
1466-4437,Journal of Information Technology,Q1,2.192
0268-3962,Journal of Information Technology,Q1,2.192
2008-5893,Journal of Information Technology Management,Q3,0.197
2423-5059,Journal of Information Technology Management,Q3,0.197
2032-5355,Journal of Innovation Economics and Management,Q2,0.425
2183-0606,Journal of Innovation Management,Q3,0.293
2192-5372,Journal of Innovation and Entrepreneurship,Q1,0.889
2444-569X,Journal of Innovation and Knowledge,Q1,3.341
2530-7614,Journal of Innovation and Knowledge,Q1,3.341
1346-8073,Journal of Insect Biotechnology and Sericology,Q4,0.117
1884-7978,Journal of Insect Biotechnology and Sericology,Q4,0.117
2185-8322,Journal of Integrated Disaster Risk Management,Q3,0.228
1469-1930,Journal of Intellectual Capital,Q1,1.526
2001-015X,Journal of Intelligence Studies in Business,Q3,0.234
2694-3999,Journal of Inter-Organizational Relationships,Q3,0.26
2694-3980,Journal of Inter-Organizational Relationships,Q3,0.26
1525-2019,Journal of Interactive Advertising,Q1,1.885
1094-9968,Journal of Interactive Marketing,Q1,3.366
1520-6653,Journal of Interactive Marketing,Q1,3.366
1404-1634,Journal of Intercultural Communication,Q1,0.288
1558-8025,Journal of International Accounting Research,Q3,0.365
1542-6297,Journal of International Accounting Research,Q3,0.365
1061-9518,"Journal of International Accounting, Auditing and Taxation",Q2,0.746
2044-4575,Journal of International Business Education,Q4,0.107
1649-4946,Journal of International Business Education,Q4,0.107
2522-0691,Journal of International Business Policy,Q1,1.5
2522-0705,Journal of International Business Policy,Q1,1.5
0047-2506,Journal of International Business Studies,Q1,5.078
1478-6990,Journal of International Business Studies,Q1,5.078
1793-9933,"Journal of International Commerce, Economics and Policy",Q2,0.407
1793-9941,"Journal of International Commerce, Economics and Policy",Q2,0.407
0896-1530,Journal of International Consumer Marketing,Q2,0.776
1528-7068,Journal of International Consumer Marketing,Q2,0.776
2046-469X,Journal of International Education in Business,Q2,0.492
1836-3261,Journal of International Education in Business,Q2,0.492
1570-7385,Journal of International Entrepreneurship,Q2,0.719
0954-1314,Journal of International Financial Management and Accounting,Q1,2.0
1467-646X,Journal of International Financial Management and Accounting,Q1,2.0
0897-4438,Journal of International Food and Agribusiness Marketing,Q2,0.396
1528-6983,Journal of International Food and Agribusiness Marketing,Q2,0.396
2508-7592,Journal of International Logistics and Trade,Q2,0.379
1738-2122,Journal of International Logistics and Trade,Q2,0.379
1075-4253,Journal of International Management,Q1,1.685
1547-7215,Journal of International Marketing,Q1,1.683
1069-031X,Journal of International Marketing,Q1,1.683
2071-8330,Journal of International Studies,Q2,0.417
2306-3483,Journal of International Studies,Q2,0.417
2289-666X,Journal of International Studies (Malaysia),Q2,0.265
1823-691X,Journal of International Studies (Malaysia),Q2,0.265
1477-0024,Journal of International Trade Law and Policy,Q2,0.259
1533-287X,Journal of Internet Commerce,Q1,1.154
1533-2861,Journal of Internet Commerce,Q1,1.154
1092-5872,Journal of Interpretation Research,Q4,0.17
2692-9376,Journal of Interpretation Research,Q4,0.17
2168-8613,Journal of Investing,Q3,0.215
1068-0896,Journal of Investing,Q3,0.215
2047-1238,Journal of Investment Strategies,Q4,0.16
2047-1246,Journal of Investment Strategies,Q4,0.16
1759-0817,Journal of Islamic Accounting and Business Research,Q2,0.424
1759-0825,Journal of Islamic Accounting and Business Research,Q2,0.424
1759-0833,Journal of Islamic Marketing,Q2,0.825
1759-0841,Journal of Islamic Marketing,Q2,0.825
1342-2618,Journal of Japan Industrial Management Association,Q4,0.167
2187-9079,Journal of Japan Industrial Management Association,Q4,0.167
1367-3270,Journal of Knowledge Management,Q1,1.946
1229-828X,Journal of Korea Trade,Q4,0.172
0734-306X,Journal of Labor Economics,Q1,6.404
1537-5307,Journal of Labor Economics,Q1,6.404
0195-3613,Journal of Labor Research,Q3,0.316
1936-4768,Journal of Labor Research,Q3,0.316
1465-7341,"Journal of Law, Economics, and Organization",Q1,1.424
8756-6222,"Journal of Law, Economics, and Organization",Q1,1.424
2380-5013,"Journal of Law, Finance, and Accounting",Q1,1.08
2380-5005,"Journal of Law, Finance, and Accounting",Q1,1.08
1939-7089,Journal of Leadership and Organizational Studies,Q1,1.687
1548-0518,Journal of Leadership and Organizational Studies,Q1,1.687
0022-2216,Journal of Leisure Research,Q1,0.754
2409-2665,"Journal of Logistics, Informatics and Service Science (discontinued)",-,
0276-1467,Journal of Macromarketing,Q2,1.134
0149-2063,Journal of Management,Q1,8.636
1557-1211,Journal of Management,Q1,8.636
1558-8033,Journal of Management Accounting Research,Q1,0.964
1049-2127,Journal of Management Accounting Research,Q1,0.964
2327-0039,Journal of Management Analytics,Q1,0.897
2327-0012,Journal of Management Analytics,Q1,0.897
2191-477X,Journal of Management Control,Q2,0.777
2191-4761,Journal of Management Control,Q2,0.777
0262-1711,Journal of Management Development,Q1,0.674
1052-5629,Journal of Management Education,Q1,0.765
1552-6658,Journal of Management Education,Q1,0.765
1758-7751,Journal of Management History,Q1,0.371
1751-1348,Journal of Management History,Q1,0.371
1557-928X,Journal of Management Information Systems,Q1,3.652
0742-1222,Journal of Management Information Systems,Q1,3.652
1552-6542,Journal of Management Inquiry,Q1,3.103
1056-4926,Journal of Management Inquiry,Q1,3.103
2096-2320,Journal of Management Science and Engineering,Q1,1.098
2589-5532,Journal of Management Science and Engineering,Q1,1.098
0022-2380,Journal of Management Studies,Q1,5.465
1467-6486,Journal of Management Studies,Q1,5.465
2994-3191,Journal of Management World (discontinued),-,
2521-4306,Journal of Management and Business Research,Q4,0.113
1572-963X,Journal of Management and Governance,Q1,1.041
1385-3457,Journal of Management and Governance,Q1,1.041
1839-3527,Journal of Management and Organization,Q1,0.945
1833-3672,Journal of Management and Organization,Q1,0.945
1943-5479,Journal of Management in Engineering,Q1,1.619
0742-597X,Journal of Management in Engineering,Q1,1.619
1942-258X,"Journal of Management, Spirituality and Religion",Q1,0.491
1476-6086,"Journal of Management, Spirituality and Religion",Q1,0.491
0268-3946,Journal of Managerial Psychology,Q1,1.135
1526-6125,Journal of Manufacturing Processes,Q1,1.556
1741-038X,Journal of Manufacturing Technology Management,Q1,1.532
1547-7185,Journal of Marketing,Q1,13.394
0022-2429,Journal of Marketing,Q1,13.394
2050-3318,Journal of Marketing Analytics,Q1,0.787
2050-3326,Journal of Marketing Analytics,Q1,0.787
1466-4445,Journal of Marketing Communications,Q1,0.999
1352-7266,Journal of Marketing Communications,Q1,0.999
0273-4753,Journal of Marketing Education,Q1,0.915
1552-6550,Journal of Marketing Education,Q1,0.915
0267-257X,Journal of Marketing Management,Q1,1.214
1472-1376,Journal of Marketing Management,Q1,1.214
0022-2437,Journal of Marketing Research,Q1,6.961
1547-7193,Journal of Marketing Research,Q1,6.961
1069-6679,Journal of Marketing Theory and Practice,Q1,1.645
1540-7144,Journal of Marketing for Higher Education,Q2,0.635
0884-1241,Journal of Marketing for Higher Education,Q2,0.635
1652-2354,Journal of Media Business Studies,Q2,0.552
2042-8707,"Journal of Mental Health Training, Education and Practice",Q2,0.444
1755-6228,"Journal of Mental Health Training, Education and Practice",Q2,0.444
1746-5672,Journal of Modelling in Management,Q2,0.541
1746-5664,Journal of Modelling in Management,Q2,0.541
2317-3963,Journal of Modern Project Management,Q4,0.209
1538-4616,"Journal of Money, Credit and Banking",Q1,1.933
0022-2879,"Journal of Money, Credit and Banking",Q1,1.933
1057-9214,Journal of Multi-Criteria Decision Analysis,Q2,0.581
1099-1360,Journal of Multi-Criteria Decision Analysis,Q2,0.581
1573-7705,Journal of Network and Systems Management,Q1,0.876
1064-7570,Journal of Network and Systems Management,Q1,0.876
1937-321X,"Journal of Neuroscience, Psychology, and Economics",Q2,0.308
2151-318X,"Journal of Neuroscience, Psychology, and Economics",Q2,0.308
2374-7838,Journal of Nonprofit Education and Leadership,Q2,0.175
2157-0604,Journal of Nonprofit Education and Leadership,Q2,0.175
1540-6997,Journal of Nonprofit and Public Sector Marketing,Q2,0.583
1049-5142,Journal of Nonprofit and Public Sector Marketing,Q2,0.583
2044-8325,Journal of Occupational and Organizational Psychology,Q1,1.969
0963-1798,Journal of Occupational and Organizational Psychology,Q1,1.969
1744-6740,Journal of Operational Risk,Q3,0.255
1755-2710,Journal of Operational Risk,Q3,0.255
1873-1317,Journal of Operations Management,Q1,4.52
0272-6963,Journal of Operations Management,Q1,4.52
2245-408X,Journal of Organization Design,Q3,0.388
1099-1379,Journal of Organizational Behavior,Q1,3.862
0894-3796,Journal of Organizational Behavior,Q1,3.862
1649-7627,Journal of Organizational Behavior Education,Q4,0.116
2047-9999,Journal of Organizational Behavior Education,Q4,0.116
0160-8061,Journal of Organizational Behavior Management,Q3,0.397
1540-8604,Journal of Organizational Behavior Management,Q3,0.397
0953-4814,Journal of Organizational Change Management,Q2,0.777
2051-6614,Journal of Organizational Effectiveness,Q2,0.877
2051-6622,Journal of Organizational Effectiveness,Q2,0.877
2046-6757,Journal of Organizational Ethnography,Q1,0.556
2046-6749,Journal of Organizational Ethnography,Q1,0.556
1546-5012,Journal of Organizational and End User Computing,Q2,0.514
1546-2234,Journal of Organizational and End User Computing,Q2,0.514
2213-0780,Journal of Outdoor Recreation and Tourism,Q1,1.22
2160-6862,Journal of Park and Recreation Administration,Q2,0.356
0735-1968,Journal of Park and Recreation Administration,Q2,0.356
2514-765X,Journal of Participation and Employee Ownership,Q2,0.393
2514-7641,Journal of Participation and Employee Ownership,Q2,0.393
1750-1806,Journal of Payments Strategy and Systems,Q3,0.312
1750-1814,Journal of Payments Strategy and Systems,Q3,0.312
1474-7472,Journal of Pension Economics and Finance,Q2,0.524
1475-3022,Journal of Pension Economics and Finance,Q2,0.524
1557-7813,Journal of Personal Selling and Sales Management,Q1,1.575
0885-3134,Journal of Personal Selling and Sales Management,Q1,1.575
1866-5888,Journal of Personnel Psychology,Q2,0.952
2190-5150,Journal of Personnel Psychology,Q2,0.952
2691-1361,Journal of Philanthropy and Marketing,Q2,0.457
1753-8343,Journal of Place Management and Development,Q2,0.435
1753-8335,Journal of Place Management and Development,Q2,0.435
0276-8739,Journal of Policy Analysis and Management,Q1,2.398
1520-6688,Journal of Policy Analysis and Management,Q1,2.398
1940-7963,"Journal of Policy Research in Tourism, Leisure and Events",Q2,0.559
1940-7971,"Journal of Policy Research in Tourism, Leisure and Events",Q2,0.559
1537-7857,Journal of Political Marketing,Q1,0.624
1537-7865,Journal of Political Marketing,Q1,0.624
0095-4918,Journal of Portfolio Management,Q2,0.595
0890-913X,Journal of Private Enterprise,Q4,0.137
1540-5885,Journal of Product Innovation Management,Q1,3.598
0737-6782,Journal of Product Innovation Management,Q1,3.598
1061-0421,Journal of Product and Brand Management,Q1,1.886
0895-562X,Journal of Productivity Analysis,Q1,0.623
1573-0441,Journal of Productivity Analysis,Q1,0.623
2051-8811,Journal of Professions and Organization,Q1,1.178
2051-8803,Journal of Professions and Organization,Q1,1.178
2371-8374,Journal of Project Management (Canada),Q2,0.362
2371-8366,Journal of Project Management (Canada),Q2,0.362
1049-6491,Journal of Promotion Management,Q2,0.849
1463-578X,Journal of Property Investment and Finance,Q2,0.524
1548-3606,Journal of Property Tax Assessment and Administration,Q3,0.163
1357-1419,Journal of Property Tax Assessment and Administration,Q3,0.163
1940-1019,Journal of Psychology,Q1,0.929
0022-3980,Journal of Psychology,Q1,0.929
1477-9803,Journal of Public Administration Research and Theory,Q1,3.454
1053-1858,Journal of Public Administration Research and Theory,Q1,3.454
1096-3367,"Journal of Public Budgeting, Accounting and Financial Management",Q2,0.719
1945-1814,"Journal of Public Budgeting, Accounting and Financial Management",Q2,0.719
0743-9156,Journal of Public Policy and Marketing,Q1,2.525
1547-7207,Journal of Public Policy and Marketing,Q1,2.525
2381-3717,Journal of Public and Nonprofit Affairs,Q3,0.248
1478-4092,Journal of Purchasing and Supply Management,Q1,2.084
1528-008X,Journal of Quality Assurance in Hospitality and Tourism,Q2,0.646
0022-4065,Journal of Quality Technology,Q1,1.068
1355-2511,Journal of Quality in Maintenance Engineering,Q2,0.567
0971-1554,Journal of Quantitative Economics,Q3,0.239
2364-1045,Journal of Quantitative Economics,Q3,0.239
1573-045X,Journal of Real Estate Finance and Economics,Q1,0.729
0895-5638,Journal of Real Estate Finance and Economics,Q1,0.729
0927-7544,Journal of Real Estate Literature,Q2,0.326
1083-5547,Journal of Real Estate Portfolio Management,Q3,0.151
0896-5803,Journal of Real Estate Research,Q2,0.447
1533-2675,Journal of Relationship Marketing,Q2,0.786
1533-2667,Journal of Relationship Marketing,Q2,0.786
2573-7104,Journal of Research Administration,Q3,0.217
1539-1590,Journal of Research Administration,Q3,0.217
2040-7122,Journal of Research in Interactive Marketing,Q1,3.336
1471-5201,Journal of Research in Marketing and Entrepreneurship,Q2,0.548
2329-9460,Journal of Responsible Innovation,Q1,1.153
2329-9037,Journal of Responsible Innovation,Q1,1.153
0022-4359,Journal of Retailing,Q1,4.204
0969-6989,Journal of Retailing and Consumer Services,Q1,3.439
2326-6902,Journal of Retirement,Q4,0.192
2326-6899,Journal of Retirement,Q4,0.192
1476-6930,Journal of Revenue and Pricing Management,Q3,0.318
1477-657X,Journal of Revenue and Pricing Management,Q3,0.318
1755-2842,Journal of Risk,Q4,0.2
1465-1211,Journal of Risk,Q4,0.2
2331-2947,Journal of Risk Finance,Q2,0.821
1526-5943,Journal of Risk Finance,Q2,0.821
1466-4461,Journal of Risk Research,Q1,0.634
1366-9877,Journal of Risk Research,Q1,0.634
1911-8074,Journal of Risk and Financial Management,Q2,0.48
1911-8066,Journal of Risk and Financial Management,Q2,0.48
1539-6975,Journal of Risk and Insurance,Q1,1.31
0022-4367,Journal of Risk and Insurance,Q1,1.31
1573-0476,Journal of Risk and Uncertainty,Q2,0.791
0895-5646,Journal of Risk and Uncertainty,Q2,0.791
2470-8496,Journal of School Administration Research and Development,Q3,0.275
2470-850X,Journal of School Administration Research and Development,Q3,0.275
2053-4639,Journal of Science and Technology Policy Management,Q2,0.694
2053-4620,Journal of Science and Technology Policy Management,Q2,0.694
1757-5818,Journal of Service Management,Q1,3.348
1094-6705,Journal of Service Research,Q1,6.011
1552-7379,Journal of Service Research,Q1,6.011
2055-6225,Journal of Service Theory and Practice,Q1,1.049
0887-6045,Journal of Services Marketing,Q1,1.364
2364-4575,Journal of Shipping and Trade,Q1,0.595
0047-2778,Journal of Small Business Management,Q1,2.149
1540-627X,Journal of Small Business Management,Q1,2.149
1081-8510,Journal of Small Business Strategy,Q2,0.584
2380-1751,Journal of Small Business Strategy,Q2,0.584
1462-6004,Journal of Small Business and Enterprise Development,Q1,0.809
0827-6331,Journal of Small Business and Entrepreneurship,Q1,1.117
2169-2610,Journal of Small Business and Entrepreneurship,Q1,1.117
1942-0684,Journal of Social Entrepreneurship,Q1,0.718
1942-0676,Journal of Social Entrepreneurship,Q1,0.718
2042-6763,Journal of Social Marketing,Q2,0.792
2042-6771,Journal of Social Marketing,Q2,0.792
0973-1741,Journal of South Asian Development,Q1,0.336
0973-1733,Journal of South Asian Development,Q1,0.336
1543-270X,Journal of Sport Management,Q1,1.352
0888-4773,Journal of Sport Management,Q1,1.352
1477-5085,Journal of Sport and Tourism,Q2,0.613
1029-5399,Journal of Sport and Tourism,Q2,0.613
2330-0574,Journal of Sport for Development,Q2,0.313
0963-8687,Journal of Strategic Information Systems,Q1,3.765
0965-254X,Journal of Strategic Marketing,Q1,1.176
1466-4488,Journal of Strategic Marketing,Q1,1.176
1755-425X,Journal of Strategy and Management,Q2,0.922
1755-4268,Journal of Strategy and Management,Q2,0.922
1523-2409,Journal of Supply Chain Management,Q1,4.562
1745-493X,Journal of Supply Chain Management,Q1,4.562
2043-0809,Journal of Sustainable Finance and Investment,Q1,1.146
2043-0795,Journal of Sustainable Finance and Investment,Q1,1.146
2766-0117,Journal of Sustainable Marketing,Q3,0.236
0966-9582,Journal of Sustainable Tourism,Q1,2.733
1747-7646,Journal of Sustainable Tourism,Q1,2.733
1816-6075,Journal of System and Management Sciences (discontinued),-,
1818-0523,Journal of System and Management Sciences (discontinued),-,
1758-8847,Journal of Systems and Information Technology,Q2,0.558
1328-7265,Journal of Systems and Information Technology,Q2,0.558
2412-8872,Journal of Tax Reform,Q3,0.187
2414-9497,Journal of Tax Reform,Q3,0.187
1838-3815,Journal of Teaching and Learning for Graduate Employability,Q2,0.458
0897-5930,Journal of Teaching in International Business,Q3,0.269
1531-3220,Journal of Teaching in Travel and Tourism,Q2,0.472
0718-2724,Journal of Technology Management and Innovation,Q4,0.231
0892-9912,Journal of Technology Transfer,Q1,1.709
2203-1693,Journal of Telecommunications and the Digital Economy,Q3,0.179
1533-0915,"Journal of Textile and Apparel, Technology and Management",Q4,0.152
0718-1876,Journal of Theoretical and Applied Electronic Commerce Research,Q1,0.952
2254-0644,Journal of Tourism Analysis,Q3,0.171
1885-2564,Journal of Tourism Analysis,Q3,0.171
2055-5911,Journal of Tourism Futures,Q1,1.308
2055-592X,Journal of Tourism Futures,Q1,1.308
1755-1838,Journal of Tourism History,Q2,0.201
1755-182X,Journal of Tourism History,Q2,0.201
1476-6825,Journal of Tourism and Cultural Change,Q1,0.752
1645-9261,Journal of Tourism and Development,Q3,0.24
2182-1453,Journal of Tourism and Development,Q3,0.24
1804-5650,Journal of Tourism and Services,Q2,0.561
2529-1947,"Journal of Tourism, Heritage and Services Marketing",Q2,0.395
1995-5235,Journal of Transport and Supply Chain Management,Q2,0.338
2310-8789,Journal of Transport and Supply Chain Management,Q2,0.338
1552-6763,Journal of Travel Research,Q1,3.1
0047-2875,Journal of Travel Research,Q1,3.1
1054-8408,Journal of Travel and Tourism Marketing,Q1,2.299
1540-7306,Journal of Travel and Tourism Marketing,Q1,2.299
2151-559X,Journal of Trust Research,Q1,0.84
2151-5581,Journal of Trust Research,Q1,0.84
1356-7667,Journal of Vacation Marketing,Q1,1.299
1479-1870,Journal of Vacation Marketing,Q1,1.299
1548-0585,Journal of Vinyl and Additive Technology,Q2,0.577
1083-5601,Journal of Vinyl and Additive Technology,Q2,0.577
1095-9084,Journal of Vocational Behavior,Q1,2.793
0001-8791,Journal of Vocational Behavior,Q1,2.793
2631-3103,Journal of White Collar and Corporate Crime,Q2,0.418
1931-437X,Journal of Wine Economics,Q2,0.455
